Dependent Variable,Factor,Categories,Odds Ratio (95% CI),p-value
Q28_A3 (n = 10432),Education,University < bachelor,1.28 (1.00–1.63),0.05
Q28_A3 (n = 10432),Education,Bachelor,1.28 (1.03–1.58),0.03
Q28_A3 (n = 10432),Education,Graduate+,1.72 (1.38–2.16),0.00
Q28_A4 (n = 10001),Age,16–17,1.16 (0.83–1.62),0.38
Q28_A4 (n = 10001),Age,18–24,1.00 (ref),
Q28_A4 (n = 10001),Age,25–34,1.01 (0.88–1.17),0.87
Q28_A4 (n = 10001),Age,35–44,0.77 (0.67–0.88),0.00
Q28_A4 (n = 10001),Age,45–54,0.70 (0.60–0.80),0.00
Q28_A4 (n = 10001),Age,55–64,0.64 (0.56–0.74),0.00
Q28_A4 (n = 10001),Age,65–74,0.72 (0.62–0.84),0.00
Q28_A4 (n = 10001),Age,75+,0.77 (0.65–0.91),0.00
Q28_A4 (n = 10001),Gender,male,1.00 (ref),
Q28_A4 (n = 10001),Gender,female,0.84 (0.78–0.90),0.00
Q28_A4 (n = 10001),Gender,other,0.36 (0.26–0.50),0.00
Q28_A4 (n = 10001),Income,<$40k,1.00 (ref),
Q28_A4 (n = 10001),Income,"$40–59,999",1.03 (0.91–1.16),0.68
Q28_A4 (n = 10001),Income,"$60–79,999",1.00 (0.88–1.13),1.00
Q28_A4 (n = 10001),Income,"$80–99,999",0.94 (0.83–1.07),0.34
Q28_A4 (n = 10001),Income,"$100–149,999",1.02 (0.91–1.14),0.74
Q28_A4 (n = 10001),Income,$150k+,1.12 (0.99–1.27),0.08
Q28_A4 (n = 10001),Education,No certificate,1.00 (ref),
Q28_A4 (n = 10001),Education,High school,0.88 (0.70–1.10),0.26
Q28_A4 (n = 10001),Education,Apprenticeship/Trades,0.98 (0.77–1.26),0.89
Q28_A4 (n = 10001),Education,College/CEGEP,1.01 (0.81–1.27),0.90
Q28_A4 (n = 10001),Education,University < bachelor,1.16 (0.90–1.49),0.25
Q28_A4 (n = 10001),Education,Bachelor,1.02 (0.82–1.28),0.85
Q28_A4 (n = 10001),Education,Graduate+,1.18 (0.94–1.49),0.16
Q28_A5 (n = 10163),Age,16–17,1.07 (0.77–1.49),0.70
Q28_A5 (n = 10163),Age,18–24,1.00 (ref),
Q28_A5 (n = 10163),Age,25–34,0.97 (0.85–1.12),0.71
Q28_A5 (n = 10163),Age,35–44,0.85 (0.74–0.98),0.03
Q28_A5 (n = 10163),Age,45–54,0.86 (0.74–0.99),0.03
Q28_A5 (n = 10163),Age,55–64,1.02 (0.89–1.18),0.76
Q28_A5 (n = 10163),Age,65–74,1.46 (1.26–1.69),0.00
Q28_A5 (n = 10163),Age,75+,1.76 (1.50–2.08),0.00
Q28_A5 (n = 10163),Gender,male,1.00 (ref),
Q28_A5 (n = 10163),Gender,female,0.79 (0.74–0.85),0.00
Q28_A5 (n = 10163),Gender,other,0.88 (0.64–1.20),0.42
Q28_A5 (n = 10163),Income,<$40k,1.00 (ref),
Q28_A5 (n = 10163),Income,"$40–59,999",0.95 (0.84–1.08),0.44
Q28_A5 (n = 10163),Income,"$60–79,999",0.96 (0.85–1.09),0.51
Q28_A5 (n = 10163),Income,"$80–99,999",1.04 (0.92–1.18),0.50
Q28_A5 (n = 10163),Income,"$100–149,999",1.12 (1.00–1.26),0.05
Q28_A5 (n = 10163),Income,$150k+,1.40 (1.24–1.59),0.00
Q28_A5 (n = 10163),Education,No certificate,1.00 (ref),
Q28_A5 (n = 10163),Education,High school,0.98 (0.78–1.22),0.83
Q28_A5 (n = 10163),Education,Apprenticeship/Trades,0.89 (0.70–1.14),0.37
Q28_A5 (n = 10163),Education,College/CEGEP,1.17 (0.93–1.46),0.17
Q28_A5 (n = 10163),Education,University < bachelor,1.26 (0.98–1.62),0.07
Q28_A5 (n = 10163),Education,Bachelor,1.28 (1.03–1.60),0.03
Q28_A5 (n = 10163),Education,Graduate+,1.63 (1.29–2.05),0.00
Q28_A6 (n = 10088),Age,16–17,0.64 (0.45–0.89),0.01
Q28_A6 (n = 10088),Age,18–24,1.00 (ref),
Q28_A6 (n = 10088),Age,25–34,0.96 (0.83–1.11),0.61
Q28_A6 (n = 10088),Age,35–44,0.80 (0.70–0.93),0.00
Q28_A6 (n = 10088),Age,45–54,0.73 (0.63–0.85),0.00
Q28_A6 (n = 10088),Age,55–64,0.74 (0.64–0.85),0.00
Q28_A6 (n = 10088),Age,65–74,0.87 (0.75–1.00),0.06
Q28_A6 (n = 10088),Age,75+,1.03 (0.87–1.22),0.71
Q28_A6 (n = 10088),Gender,male,1.00 (ref),
Q28_A6 (n = 10088),Gender,female,0.63 (0.59–0.68),0.00
Q28_A6 (n = 10088),Gender,other,0.42 (0.31–0.58),0.00
Q28_A6 (n = 10088),Income,<$40k,1.00 (ref),
Q28_A6 (n = 10088),Income,"$40–59,999",1.05 (0.93–1.18),0.46
Q28_A6 (n = 10088),Income,"$60–79,999",1.00 (0.88–1.13),0.99
Q28_A6 (n = 10088),Income,"$80–99,999",1.00 (0.88–1.13),0.99
Q28_A6 (n = 10088),Income,"$100–149,999",0.99 (0.88–1.11),0.81
Q28_A6 (n = 10088),Income,$150k+,1.17 (1.03–1.33),0.02
Q28_A6 (n = 10088),Education,No certificate,1.00 (ref),
Q28_A6 (n = 10088),Education,High school,0.87 (0.70–1.10),0.24
Q28_A6 (n = 10088),Education,Apprenticeship/Trades,0.86 (0.67–1.10),0.23
Q28_A6 (n = 10088),Education,College/CEGEP,0.97 (0.77–1.21),0.78
Q28_A6 (n = 10088),Education,University < bachelor,1.30 (1.01–1.68),0.04
Q28_A6 (n = 10088),Education,Bachelor,1.11 (0.88–1.39),0.37
Q28_A6 (n = 10088),Education,Graduate+,1.37 (1.09–1.73),0.01
Q28_A7 (n = 10482),Age,16–17,1.08 (0.78–1.50),0.65
Q28_A7 (n = 10482),Age,18–24,1.00 (ref),
Q28_A7 (n = 10482),Age,25–34,1.07 (0.93–1.24),0.33
Q28_A7 (n = 10482),Age,35–44,1.09 (0.94–1.25),0.25
Q28_A7 (n = 10482),Age,45–54,1.20 (1.04–1.38),0.01
Q28_A7 (n = 10482),Age,55–64,1.26 (1.10–1.45),0.00
Q28_A7 (n = 10482),Age,65–74,1.15 (0.99–1.33),0.06
Q28_A7 (n = 10482),Age,75+,1.02 (0.87–1.20),0.80
Q28_A7 (n = 10482),Gender,male,1.00 (ref),
Q28_A7 (n = 10482),Gender,female,1.17 (1.09–1.25),0.00
Q28_A7 (n = 10482),Gender,other,2.31 (1.70–3.18),0.00
Q28_A7 (n = 10482),Income,<$40k,1.00 (ref),
Q28_A7 (n = 10482),Income,"$40–59,999",0.97 (0.86–1.09),0.60
Q28_A7 (n = 10482),Income,"$60–79,999",1.00 (0.88–1.13),0.99
Q28_A7 (n = 10482),Income,"$80–99,999",0.99 (0.87–1.12),0.83
Q28_A7 (n = 10482),Income,"$100–149,999",0.97 (0.87–1.09),0.59
Q28_A7 (n = 10482),Income,$150k+,0.84 (0.74–0.95),0.01
Q28_A7 (n = 10482),Education,No certificate,1.00 (ref),
Q28_A7 (n = 10482),Education,High school,1.29 (1.04–1.61),0.02
Q28_A7 (n = 10482),Education,Apprenticeship/Trades,1.24 (0.97–1.58),0.09
Q28_A7 (n = 10482),Education,College/CEGEP,1.33 (1.06–1.65),0.01
Q28_A7 (n = 10482),Education,University < bachelor,1.35 (1.05–1.73),0.02
Q28_A7 (n = 10482),Education,Bachelor,1.34 (1.07–1.67),0.01
Q28_A7 (n = 10482),Education,Graduate+,1.44 (1.15–1.81),0.00
